trial,fold,adjusted_sharpe,raw_sharpe,strategy_volatility,market_volatility,cumulative_return,max_drawdown,volatility_penalty,return_penalty,metric_errors,r2,spearman,rmse,train_end,inner_train_end,stopping_start,stopping_end,validation_start,validation_end,best_iteration,prediction_constant,allocation_mean
4,1,1.1934607654278833,1.1934607654278833,0.13968098653834293,0.18405361319648608,0.12810939346165023,0.08368751703237384,1.0,1.0,[],0.008703068338080322,0.12853075461553576,0.011512046243574364,7966,7785,7787,7966,7968,8147,33,False,0.5055555555555555
4,2,0.6710068463703737,0.6710068463703737,0.16315408850163185,0.24061547890237955,0.10407464294562481,0.09233386151873343,1.0,1.0,[],-0.0036587257548075236,0.04675452946078582,0.015157743404634494,8146,7965,7967,8146,8148,8327,92,False,0.38333333333333336
4,3,2.1619920974013156,2.1619920974013156,0.051952517594211135,0.12971198860867603,0.12302704615817646,0.013386070000000005,1.0,1.0,[],-0.00023902768106265349,0.06359109755125142,0.008149729665721972,8326,8145,8147,8326,8328,8507,44,False,0.11666666666666667
4,4,-0.13082222177321962,-1.186613382645589,0.005609284519302165,0.1112305968042878,0.03320660014945302,0.004532784,1.0,9.070426771245208,[],-0.013488544575525507,-0.04888557704334518,0.007034364633866427,8506,8325,8327,8506,8508,8687,2,False,0.005555555555555556
4,5,0.143344431629604,0.143344431629604,0.1478664678841467,0.1478664678841467,0.048811456878790564,0.10035402840141125,1.0,1.0,[],-0.0017513840695559946,-0.07636040904835316,0.009296184305282786,8686,8505,8507,8686,8688,8867,1,False,1.0
5,1,-0.28608687333396254,-0.29013590619160307,0.16655461704545665,0.18405361319648608,-0.03247078761596245,0.13197437162047015,1.0,1.014153158481039,[],0.0017588650856456,0.028957280687123867,0.011552297793261172,7966,7785,7787,7966,7968,8147,32,False,0.7055555555555556
5,2,-0.03306150225333686,-0.03306150225333686,0.15178583571937945,0.24061547890237955,0.01740196868800091,0.1026124710669852,1.0,1.0,[],0.002132561629527241,0.012774056812453059,0.015113948714676482,8146,7965,7967,8146,8148,8327,71,False,0.2722222222222222
5,3,1.2552360519204049,1.5322753128622404,0.020939553597350426,0.12971198860867603,0.060503244374394985,0.002248545,1.0,1.2207069025128692,[],-0.007234536606707476,0.06840338097029669,0.008178178951247093,8326,8145,8147,8326,8328,8507,63,False,0.03333333333333333
5,4,0.545537929686867,1.779395592113916,0.07139420515232875,0.1112305968042878,0.1366906487897295,0.04585064503896247,1.0,3.2617266284954196,[],-0.015278635613894087,0.09952245362365864,0.007040574175054157,8506,8325,8327,8506,8508,8687,25,False,0.26666666666666666
5,5,0.4741160988614326,0.4741160988614326,0.14407259766411723,0.1478664678841467,0.08469177219074192,0.10035402840141125,1.0,1.0,[],-0.00018690479681082728,0.042223536219498634,0.009288922338536107,8686,8505,8507,8686,8688,8867,2,False,0.95
6,1,0.671787129595334,0.671787129595334,0.16664788547405576,0.18405361319648608,0.08486670857426032,0.1107576573291695,1.0,1.0,[],0.01261893732885122,0.1250799921808286,0.011489286023816015,7966,7785,7787,7966,7968,8147,175,False,0.7444444444444445
6,2,-0.015419531170673989,-0.015419531170673989,0.16452999988766934,0.24061547890237955,0.01920717357401329,0.1102153496334893,1.0,1.0,[],0.0027747465522947046,0.07022027428830108,0.015109084585584123,8146,7965,7967,8146,8148,8327,197,False,0.3333333333333333
6,3,0.3892016211472784,0.5072023153111307,0.04732280567898416,0.12971198860867603,0.05440058485994527,0.017046449999999998,1.0,1.3031865433037326,[],-0.003566955063014632,0.08522691029558525,0.008163276021060286,8326,8145,8147,8326,8328,8507,199,False,0.08333333333333333
6,4,0.3632064197963823,1.5009734509922465,0.06691552771690291,0.1112305968042878,0.11531119711012452,0.050657027071611245,1.0,4.132563107870476,[],-0.012434313254573004,0.08915692003167912,0.0070307051070491195,8506,8325,8327,8506,8508,8687,19,False,0.26666666666666666
6,5,-0.1590598225669858,-0.19928319847722153,0.14598092438645327,0.1478664678841467,0.01181320071934331,0.11403026654140548,1.0,1.2528820619883203,[],-0.0005984296952605828,-0.018369729612568237,0.009290833096256482,8686,8505,8507,8686,8688,8867,3,False,0.9333333333333333
7,1,0.011737156089381112,0.011737156089381112,0.15439875961802246,0.18405361319648608,0.002808149596957683,0.10735565745287722,1.0,1.0,[],0.0004544125779769592,0.1403510792060869,0.011559843316841092,7966,7785,7787,7966,7968,8147,1,False,0.8333333333333334
7,2,0.057473557487708576,0.057473557487708576,0.15980483848337046,0.24061547890237955,0.027776350834366758,0.12761000776422188,1.0,1.0,[],-0.00978170554348301,0.007080465446464397,0.01520390921422539,8146,7965,7967,8146,8148,8327,35,False,0.3611111111111111
7,3,1.0690138389506554,1.1127995247072258,0.052863337034404115,0.12971198860867603,0.0809472169767625,0.01704645,1.0,1.0409589512887414,[],-0.0038780595124372486,0.06198036922338785,0.008164541225483914,8326,8145,8147,8326,8328,8507,12,False,0.15
7,4,0.0,0.0,1.8982396541188566e-05,0.1112305968042878,0.03812951844973662,-0.0,1.0,8.696680208991754,[],-0.013816573163538681,0.03104120031936121,0.007035502923011469,8506,8325,8327,8506,8508,8687,2,False,0.0
7,5,0.26968544255041754,0.26968544255041754,0.11198634173265248,0.1478664678841467,0.05557804850708545,0.05662162203955835,1.0,1.0,[],-0.007939846437673204,-0.02398668283100186,0.009324854348816953,8686,8505,8507,8686,8688,8867,19,False,0.6333333333333333
8,1,0.2770781906630266,0.2770781906630266,0.16475922758066575,0.18405361319648608,0.03470417309713761,0.13151115129392318,1.0,1.0,[],0.008520902769867278,0.06432503060794056,0.011513103949920396,7966,7785,7787,7966,7968,8147,174,False,0.7055555555555556
8,2,0.049554220462710956,0.049554220462710956,0.1795558364757373,0.24061547890237955,0.027560489458379866,0.12089843649966774,1.0,1.0,[],0.00039707360397533975,0.034735639988888546,0.015127086071951696,8146,7965,7967,8146,8148,8327,79,False,0.36666666666666664
8,3,0.8536770306156668,1.3215459564182852,0.0038086656545025556,0.12971198860867603,0.040213381251876214,-0.0,1.0,1.5480631538899368,[],-0.004893521974253634,0.022521271232651213,0.008168669560344483,8326,8145,8147,8326,8328,8507,151,False,0.016666666666666666
8,4,2.4941780548716257,2.4941780548716257,0.1112305968042878,0.1112305968042878,0.26545899123234523,0.05876421390677162,1.0,1.0,[],-0.013098529605793274,-0.010199991764529973,0.007033011006577148,8506,8325,8327,8506,8508,8687,1,False,1.0
8,5,0.143344431629604,0.143344431629604,0.1478664678841467,0.1478664678841467,0.048811456878790564,0.10035402840141125,1.0,1.0,[],-0.0010510697277001935,-0.0253730582237208,0.00929293430258362,8686,8505,8507,8686,8688,8867,8,False,1.0
9,1,0.021063376677432542,0.021063376677432542,0.16915296303267363,0.18405361319648608,0.004062156062304589,0.1208308050691915,1.0,1.0,[],0.010149150465864176,0.07782425449203847,0.011503646419349377,7966,7785,7787,7966,7968,8147,31,False,0.8333333333333334
9,2,-0.4406201754717224,-0.4406201754717224,0.1611718928978699,0.24061547890237955,-0.02945257018152311,0.15735636380175147,1.0,1.0,[],-0.015299905779956546,0.04788213627992633,0.015245395362409138,8146,7965,7967,8146,8148,8327,104,False,0.29444444444444445
9,3,-0.28928262949571004,-0.5265454699046138,0.021838545320679536,0.12971198860867603,0.028003886526339734,0.01704645,1.0,1.8201765893185864,[],-0.00553169513683005,0.04376417597781977,0.0081712629685927,8326,8145,8147,8326,8328,8507,48,False,0.027777777777777776
9,4,0.3701145087885872,1.8546945110924038,0.041597514590236424,0.1112305968042878,0.09692228775389512,0.0163701403180438,1.0,5.011137005039222,[],-0.014936853145165685,0.01038433699500947,0.007039389009085958,8506,8325,8327,8506,8508,8687,10,False,0.11666666666666667
9,5,0.15987453610250377,0.1599793527226182,0.11648585061021248,0.1478664678841467,0.046895871448552305,0.07196471089738052,1.0,1.0006556179781327,[],-0.011264480786833841,0.006063976287322574,0.00934022044872626,8686,8505,8507,8686,8688,8867,105,False,0.4444444444444444
10,1,0.6604780338228147,0.6604780338228147,0.1703818806307163,0.18405361319648608,0.08531802231175957,0.11078235665370789,1.0,1.0,[],0.0045538358394995315,0.08397790055248618,0.011536113844299704,7966,7785,7787,7966,7968,8147,118,False,0.7666666666666667
10,2,0.8900786651404096,0.8900786651404096,0.17959668217172284,0.24061547890237955,0.14450363158186108,0.08666301853005648,1.0,1.0,[],0.006271906401230987,0.09347613609473543,0.01508256836458135,8146,7965,7967,8146,8148,8327,61,False,0.38333333333333336
10,3,1.2666773926145325,1.278986514034992,0.05411065855967825,0.12971198860867603,0.08898891377879549,0.022037601233221852,1.0,1.0097176451496086,[],0.007328915521860324,0.1865366215006636,0.00811884015006538,8326,8145,8147,8326,8328,8507,222,False,0.11666666666666667
10,4,2.2536162072450354,2.338568763684939,0.11032963084682447,0.1112305968042878,0.2480524181100933,0.05876421390677162,1.0,1.037696106447404,[],-0.013532637619181553,-0.016935959394259115,0.007034517651468394,8506,8325,8327,8506,8508,8687,2,False,0.9444444444444444
10,5,-0.03232290425443627,-0.034555132408124516,0.14711226982019196,0.1478664678841467,0.02931223847149732,0.10035402840141124,1.0,1.069060259440699,[],-0.0015519480698500399,0.0037545563096897,0.009295258883004509,8686,8505,8507,8686,8688,8867,3,False,0.9333333333333333
11,1,0.08243783340524966,0.08243783340524966,0.1748696266793221,0.18405361319648608,0.011877305659676915,0.12495264309220253,1.0,1.0,[],0.014619922157574794,0.11833489734567368,0.011477638268305373,7966,7785,7787,7966,7968,8147,54,False,0.8055555555555556
11,2,-0.67709828372082,-0.67709828372082,0.15875899256144657,0.24061547890237955,-0.05442171631534312,0.14871691895265846,1.0,1.0,[],-0.010385782910977692,-0.03622854032825336,0.01520845621890837,8146,7965,7967,8146,8148,8327,43,False,0.3055555555555556
11,3,0.8874498639683422,1.2124087236887506,0.01530218858489609,0.12971198860867603,0.05030469230406626,-0.0,1.0,1.3661715133599937,[],-0.008453409048701843,-0.04833316186295302,0.008183125735113926,8326,8145,8147,8326,8328,8507,34,False,0.016666666666666666
11,4,0.09095887322536142,0.6574527327809395,0.042389148565565436,0.1112305968042878,0.058996473899482815,0.016622644011876398,1.0,7.228021956164983,[],-0.017391838507874624,0.08199195543995665,0.007047897498616927,8506,8325,8327,8506,8508,8687,49,False,0.14444444444444443
11,5,0.06396513465117379,0.06490094500248271,0.14021950399199043,0.1478664678841467,0.039790819863566605,0.10876047305228334,1.0,1.0146300067437088,[],-0.0007685563478310176,0.11979211671071241,0.009291622899191875,8686,8505,8507,8686,8688,8867,12,False,0.8666666666666667
12,1,0.3237655057121204,0.3237655057121204,0.16049082644699017,0.18405361319648608,0.03937746604959062,0.11902453711546146,1.0,1.0,[],0.011197922853169229,0.12030618228957683,0.011497550599896208,7966,7785,7787,7966,7968,8147,124,False,0.6222222222222222
